00;,;59
01;.;30
01;.;82
02;A;13
02;A;2
02;A;50
02;A;77
03;B;1
03;B;47
05;D;62
06;E;15
06;E;25
06;E;33
06;E;37
06;E;40
06;E;7
06;E;71
06;E;79
06;E;81
09;H;4
09;H;72
10;I;11
10;I;23
10;I;27
10;I;43
10;I;48
11;J;32
11;J;36
11;J;6
11;J;65
11;J;70
12;K;18
12;K;61
13;L;16
13;L;41
13;L;80
14;M;42
14;M;58
15;N;34
16;O;57
16;O;63
16;O;67
16;O;73
17;P;21
17;P;75
19;R;22
19;R;49
19;R;76
20;S;17
20;S;3
20;S;66
21;T;14
21;T;26
21;T;56
21;T;78
22;U;68
22;U;9
23;V;12
23;V;24
23;V;28
23;V;39
23;V;45
23;V;51
23;V;54
26;Y;19
26;Y;29
26;Y;46
26;Y;52
27;Z;10
28;_;20
28;_;31
28;_;35
28;_;38
28;_;44
28;_;5
28;_;53
28;_;55
28;_;60
28;_;64
28;_;69
28;_;74
28;_;8
